Date,VaR (95%),CVaR (95%),Sharpe Ratio,Initial Investment,Portfolio Returns,Simulations
2024-12-05 23:30:24,$15021.01,$14128.04,-4.50,$10000.00,0.0018,1000
2024-12-05 23:33:16,$15410.43,$14527.02,-4.02,$10000.00,0.0019,1000
2024-12-05 23:37:19,$14199.75,$13424.37,-4.34,$10000.00,0.0017,1000
2024-12-06 00:06:44,$14882.40,$14081.31,-4.33,$10000.00,0.0018,1000
2024-12-06 00:58:31,$14977.63,$14072.93,-4.24,$10000.00,0.0018,1000
